,Date,Price
0,2023-01-23,62.3477
1,2023-01-24,61.495
2,2023-01-25,61.8049
3,2023-01-26,62.33
4,2023-01-27,62.045
5,2023-01-30,60.585
6,2023-01-31,61.45
7,2023-02-01,61.09
8,2023-02-02,61.565
9,2023-02-03,61.0
10,2023-02-06,59.435
11,2023-02-07,61.055
12,2023-02-08,60.9298
13,2023-02-09,61.07
14,2023-02-10,60.79
15,2023-02-13,60.865
16,2023-02-14,61.0049
17,2023-02-15,58.7881
18,2023-02-16,58.22
19,2023-02-17,57.995
20,2023-02-21,57.93
21,2023-02-22,58.2228
22,2023-02-23,58.5102
23,2023-02-24,60.45
24,2023-02-27,60.22
25,2023-02-28,59.652
26,2023-03-01,60.94
27,2023-03-02,59.46
28,2023-03-03,59.9255
29,2023-03-06,60.225
30,2023-03-07,58.915
31,2023-03-08,58.855
32,2023-03-09,58.505
33,2023-03-10,55.809
34,2023-03-13,57.7326
35,2023-03-14,57.855
36,2023-03-15,56.31
37,2023-03-16,56.3061
38,2023-03-17,55.305
39,2023-03-20,55.0307
40,2023-03-21,55.615
41,2023-03-22,55.62
42,2023-03-23,55.1843
43,2023-03-24,54.705
44,2023-03-27,56.8047
45,2023-03-28,58.8651
46,2023-03-29,59.065
47,2023-03-30,59.48
48,2023-03-31,58.9362
49,2023-04-03,58.79
50,2023-04-04,57.84
51,2023-04-05,57.97
52,2023-04-06,59.46
53,2023-04-10,58.885
54,2023-04-11,59.175
55,2023-04-12,58.9
56,2023-04-13,59.66
57,2023-04-14,59.3329
58,2023-04-17,59.575
59,2023-04-18,60.555
60,2023-04-19,59.715
61,2023-04-20,57.3405
62,2023-04-21,57.3652
63,2023-04-24,57.79
64,2023-04-25,56.2
65,2023-04-26,56.245
66,2023-04-27,57.47
67,2023-04-28,57.735
68,2023-05-01,58.185
69,2023-05-02,57.755
70,2023-05-03,56.45
71,2023-05-04,58.13
72,2023-05-05,60.235
73,2023-05-08,59.655
74,2023-05-09,58.0
75,2023-05-10,57.845
76,2023-05-11,57.1301
77,2023-05-12,57.735
78,2023-05-15,59.205
79,2023-05-16,59.7498
80,2023-05-17,62.3306
81,2023-05-18,62.42
82,2023-05-19,62.215
83,2023-05-22,61.25
84,2023-05-23,60.24
85,2023-05-24,58.765
86,2023-05-25,57.6397
87,2023-05-26,60.1455
88,2023-05-30,60.59
89,2023-05-31,60.11
