temp,feelslike,humidity,precip,windspeed,windgust,solarradiation,solarenergy,uvindex,Date,Price
11.7,10.5,85.0,3.747,25.6,44.3,45.6,4.1,3,2024-03-05,24.27
7.2,4.4,80.4,0.0,29.5,42.5,104.3,9.1,6,2024-03-06,24.26
9.3,7.8,83.6,0.859,22.1,33.5,55.5,4.7,2,2024-03-07,24.57
11.5,10.6,98.4,33.734,27.4,40.7,29.8,2.5,2,2024-03-08,24.97
9.0,7.7,53.8,0.0,34.8,54.1,224.8,19.5,8,2024-03-11,24.92
13.3,12.2,58.6,0.0,41.7,51.4,200.8,17.4,7,2024-03-12,25.21
16.1,15.9,66.6,0.0,25.7,44.0,146.1,12.5,8,2024-03-13,25.27
17.1,16.9,81.2,10.301,33.1,70.2,109.3,9.3,8,2024-03-14,25.27
10.0,8.2,73.3,0.009,31.1,47.1,213.0,18.4,8,2024-03-15,25.26
0.1,-4.6,55.7,0.0,27.4,43.0,150.7,13.0,6,2024-03-18,25.1
6.5,3.9,50.2,0.0,40.1,66.3,236.7,20.5,8,2024-03-19,25.1
7.1,4.2,36.5,0.0,31.2,44.3,209.0,18.0,9,2024-03-20,25.54
2.8,-0.3,54.0,0.0,25.8,33.5,195.4,16.8,8,2024-03-21,25.56
5.9,2.8,61.6,0.01,38.5,68.1,200.3,17.3,8,2024-03-22,25.17
14.1,14.1,55.3,5.153,49.6,75.5,46.9,4.2,2,2024-03-25,25.37
7.4,4.5,84.8,3.665,38.4,60.6,52.5,4.6,3,2024-03-26,25.17
3.6,0.2,63.5,0.0,22.2,33.5,254.7,22.1,10,2024-03-27,25.03
8.1,7.0,58.5,0.0,29.2,53.0,248.2,21.5,8,2024-03-28,25.21
14.2,13.9,95.5,14.925,25.8,44.6,56.4,4.8,3,2024-04-01,25.06
12.2,10.6,92.1,30.389,44.2,64.6,62.1,5.4,5,2024-04-02,24.95
3.3,-1.9,89.1,4.049,40.4,61.0,77.6,6.8,3,2024-04-03,25.19
3.9,-0.4,85.4,2.874,29.2,46.0,66.5,5.7,3,2024-04-04,25.11
5.9,3.3,77.8,0.0,20.4,27.7,92.6,8.1,4,2024-04-05,25.16
15.2,14.7,63.2,0.0,27.3,36.9,241.6,20.8,8,2024-04-08,25.12
15.8,15.7,54.4,0.0,23.7,37.1,275.2,23.8,9,2024-04-09,25.0
12.8,12.6,79.7,3.177,20.4,48.2,144.7,12.4,7,2024-04-10,24.82
13.2,13.2,79.8,12.833,38.4,66.6,112.0,9.7,5,2024-04-11,24.76
12.6,11.4,61.9,4.688,45.9,65.3,255.5,22.2,9,2024-04-12,24.91
20.4,20.3,56.8,0.0,20.2,37.1,301.7,26.1,9,2024-04-15,24.77
21.4,21.6,69.6,0.29,51.7,84.6,205.1,17.8,8,2024-04-16,24.5167
19.3,19.3,66.9,0.0,44.0,77.2,167.5,14.5,5,2024-04-17,24.56
15.2,15.0,77.9,2.364,40.0,81.5,143.2,12.5,7,2024-04-18,24.33
10.5,9.2,59.9,0.0,31.5,54.8,232.5,20.1,10,2024-04-19,24.62
11.8,11.0,49.4,0.0,33.2,48.8,292.9,25.3,10,2024-04-22,24.9
12.6,12.6,74.0,11.82,31.2,48.1,82.2,7.2,6,2024-04-23,24.94
8.9,7.1,80.9,0.0,27.5,44.6,232.2,20.1,10,2024-04-24,24.9146
8.0,6.4,75.9,0.0,22.1,33.5,292.2,25.3,9,2024-04-25,24.97
12.9,12.0,82.4,20.736,31.5,47.9,59.2,5.2,2,2024-04-26,24.9649
17.8,17.8,85.3,19.367,24.1,50.0,157.0,13.5,5,2024-04-29,25.0342
18.6,18.6,72.1,0.0,23.8,37.1,306.3,26.6,9,2024-04-30,24.65
21.0,21.0,63.3,0.0,25.4,37.1,283.3,24.5,9,2024-05-01,24.79
21.5,21.7,68.2,0.052,33.0,53.2,208.9,17.9,8,2024-05-02,25.3
19.5,19.5,84.6,0.511,21.9,27.7,209.0,17.9,8,2024-05-03,25.55
18.4,18.4,83.8,0.29,20.2,31.7,157.5,13.4,7,2024-05-06,26.01
22.1,22.2,76.3,1.814,34.8,61.0,222.5,19.0,9,2024-05-07,26.11
18.4,18.4,81.8,2.46,20.8,39.7,148.7,12.9,6,2024-05-08,25.78
17.7,17.7,90.3,12.75,31.3,52.4,74.9,6.3,3,2024-05-09,25.53
15.7,15.7,74.2,0.0,22.1,33.5,256.4,22.2,10,2024-05-10,25.68
19.8,19.8,75.2,13.438,20.3,42.5,169.4,14.7,7,2024-05-13,25.81
18.0,18.0,94.7,6.208,24.0,33.5,73.0,6.1,4,2024-05-14,25.65
17.8,17.8,87.4,0.0,27.3,31.7,206.6,17.9,10,2024-05-15,25.53
18.1,18.1,92.5,2.435,25.5,37.1,98.2,8.4,4,2024-05-16,25.45
21.1,21.1,81.3,0.0,12.9,33.5,251.5,21.7,10,2024-05-17,25.52
25.1,25.6,69.2,0.0,31.4,49.8,253.5,21.7,9,2024-05-20,25.77
25.9,26.6,66.4,3.389,48.1,74.6,296.1,25.6,10,2024-05-21,25.72
21.2,21.2,66.4,0.136,27.5,49.6,325.7,28.1,10,2024-05-22,25.92
21.1,21.2,70.1,0.0,25.5,33.5,275.5,24.0,10,2024-05-23,25.74
20.1,20.1,92.7,44.126,42.1,55.1,93.2,8.0,6,2024-05-24,25.86
19.6,19.6,67.4,2.224,25.9,51.8,297.5,25.7,10,2024-05-28,25.68
18.2,18.2,66.8,0.0,22.1,33.5,221.3,19.2,7,2024-05-29,25.43
18.4,18.4,57.8,0.0,14.6,20.5,350.0,30.4,10,2024-05-30,25.29
20.1,20.1,56.2,0.0,25.7,49.8,322.3,28.0,10,2024-05-31,25.27
23.6,24.2,76.1,0.0,29.2,42.5,326.6,28.3,9,2024-06-03,24.84
24.3,25.0,78.1,0.053,29.2,40.5,200.0,17.4,10,2024-06-04,24.62
22.7,22.7,81.8,19.543,26.3,54.4,242.8,21.1,10,2024-06-05,24.5
23.3,23.1,52.9,0.0,29.4,53.2,351.4,30.2,10,2024-06-06,24.92
22.8,22.5,45.4,0.0,27.5,50.6,317.4,27.3,10,2024-06-07,24.67
18.4,18.4,62.8,0.0,22.0,35.3,242.9,21.0,9,2024-06-10,24.7
18.8,18.8,51.0,0.065,16.3,27.7,351.3,30.4,10,2024-06-11,24.53
25.1,25.3,51.6,0.0,25.4,42.5,350.3,30.2,10,2024-06-12,24.52
27.1,27.8,58.4,0.87,34.7,51.6,278.2,24.3,10,2024-06-13,24.6297
26.1,26.0,61.2,3.576,22.0,33.5,354.1,30.7,10,2024-06-14,24.46
29.3,31.4,62.5,0.0,35.1,55.0,328.5,28.6,10,2024-06-17,24.11
27.6,28.7,65.2,0.0,33.0,53.3,321.5,27.7,10,2024-06-18,24.15
28.3,29.3,59.8,0.0,18.1,27.7,268.7,23.3,10,2024-06-20,23.96
28.1,28.9,58.6,0.0,20.3,35.3,299.3,25.9,10,2024-06-21,23.97
26.5,26.9,61.0,0.0,23.9,27.7,330.1,28.3,9,2024-06-24,24.08
26.5,27.2,65.6,5.487,39.7,63.1,60.8,5.2,4,2024-06-25,23.7
24.6,25.1,75.9,3.013,16.4,24.1,220.0,19.0,8,2024-06-26,23.65
23.8,23.9,68.0,0.0,22.2,44.6,326.8,28.2,10,2024-06-27,23.62
25.7,27.0,66.4,0.0,27.3,38.9,129.0,11.2,7,2024-06-28,23.651
18.9,18.9,62.7,0.0,23.7,44.1,357.4,30.8,10,2024-07-01,23.9
24.6,24.4,53.5,0.0,27.6,44.0,317.3,27.4,9,2024-07-02,23.9
26.1,27.4,77.0,1.487,30.9,50.0,166.7,14.5,6,2024-07-03,24.145
24.8,25.0,71.1,0.615,27.2,44.0,322.1,27.6,10,2024-07-05,24.3
25.5,26.5,73.5,7.154,17.9,64.8,228.5,19.7,10,2024-07-08,23.66
21.7,21.7,93.2,62.738,28.8,46.1,61.0,5.0,2,2024-07-09,23.27
24.3,24.9,74.5,2.021,23.5,59.4,341.9,29.4,10,2024-07-10,23.0
24.5,24.9,76.5,0.009,12.6,13.0,239.1,20.8,10,2024-07-11,23.12
24.9,26.0,79.4,0.0,10.8,7.6,306.3,26.5,10,2024-07-12,22.99
